user_sequence,challenge
4577_11,CI23663
4577_12,CI23856
4577_13,CI24968
4578_11,CI23663
4578_12,CI24522
4578_13,CI24968
4579_11,CI26945
4579_12,CI26939
4579_13,CI24917
4583_11,CI23663
4583_12,CI24522
4583_13,CI24917
4584_11,CI23714
4584_12,CI23663
4584_13,CI23855
4586_11,CI25140
4586_12,CI24522
4586_13,CI24917
4588_11,CI23663
4588_12,CI24868
4588_13,CI24968
4589_11,CI26170
4589_12,CI26160
4589_13,CI26161
4594_11,CI23663
4594_12,CI24868
4594_13,CI24968
4595_11,CI26170
4595_12,CI26160
4595_13,CI26161
4597_11,CI26170
4597_12,CI26160
4597_13,CI26161
4598_11,CI24206
4598_12,CI24522
4598_13,CI24917
4599_11,CI23663
4599_12,CI26054
4599_13,CI24917
4600_11,CI23663
4600_12,CI23856
4600_13,CI23855
4601_11,CI26170
4601_12,CI26160
4601_13,CI26161
4603_11,CI23663
4603_12,CI24868
4603_13,CI24968
4605_11,CI26939
4605_12,CI26939
4605_13,CI24917
4607_11,CI23663
4607_12,CI24868
4607_13,CI23855
4608_11,CI23663
4608_12,CI23856
4608_13,CI24917
4610_11,CI23663
4610_12,CI24868
4610_13,CI24968
4613_11,CI26948
4613_12,CI26950
4613_13,CI26953
4614_11,CI23856
4614_12,CI23663
4614_13,CI24917
4620_11,CI23663
4620_12,CI23856
4620_13,CI28567
4621_11,CI24206
4621_12,CI24522
4621_13,CI24917
4623_11,CI26945
4623_12,CI26939
4623_13,CI24917
4627_11,CI24206
4627_12,CI24522
4627_13,CI24917
4628_11,CI23663
4628_12,CI24868
4628_13,CI24917
4633_11,CI23663
4633_12,CI24868
4633_13,CI24917
4634_11,CI23663
4634_12,CI26054
4634_13,CI24917
4636_11,CI26170
4636_12,CI26160
4636_13,CI26161
4640_11,CI26170
4640_12,CI26160
4640_13,CI26161
4649_11,CI24522
4649_12,CI25140
4649_13,CI24968
4650_11,CI26170
4650_12,CI26160
4650_13,CI26161
4651_11,CI28571
4651_12,CI28568
4651_13,CI28569
4655_11,CI24530
4655_12,CI25140
4655_13,CI24917
4656_11,CI23663
4656_12,CI23856
4656_13,CI24917
4657_11,CI24530
4657_12,CI26055
4657_13,CI24917
4659_11,CI23663
4659_12,CI24868
4659_13,CI24968
4665_11,CI26160
4665_12,CI26160
4665_13,CI26161
4666_11,CI28568
4666_12,CI26939
4666_13,CI24917
4667_11,CI23663
4667_12,CI24868
4667_13,CI24917
4668_11,CI26170
4668_12,CI26160
4668_13,CI26161
4671_11,CI26170
4671_12,CI26160
4671_13,CI26157
4674_11,CI23663
4674_12,CI25054
4674_13,CI23855
4676_11,CI23663
4676_12,CI24530
4676_13,CI24968
4682_11,CI23663
4682_12,CI23856
4682_13,CI23855
4685_11,CI26155
4685_12,CI26160
4685_13,CI26161
4686_11,CI23663
4686_12,CI23856
4686_13,CI23855
4690_11,CI26170
4690_12,CI26160
4690_13,CI26174
4697_11,CI26388
4697_12,CI26160
4697_13,CI26174
4699_11,CI23663
4699_12,CI23856
4699_13,CI25732
4702_11,CI28568
4702_12,CI28582
4702_13,CI28567
4705_11,CI26170
4705_12,CI26160
4705_13,CI26174
4707_11,CI23663
4707_12,CI25054
4707_13,CI24917
4708_11,CI26945
4708_12,CI26939
4708_13,CI24917
4712_11,CI26160
4712_12,CI27957
4712_13,CI26174
4714_11,CI23663
4714_12,CI26054
4714_13,CI24968
4715_11,CI26170
4715_12,CI26160
4715_13,CI26174
4716_11,CI23663
4716_12,CI24868
4716_13,CI24968
4723_11,CI26170
4723_12,CI26160
4723_13,CI26157
4724_11,CI26170
4724_12,CI26160
4724_13,CI26161
4726_11,CI23663
4726_12,CI25054
4726_13,CI24917
4730_11,CI27651
4730_12,CI27652
4730_13,CI27648
4731_11,CI24206
4731_12,CI24522
4731_13,CI24917
4733_11,CI26216
4733_12,CI26170
4733_13,CI26161
4735_11,CI26170
4735_12,CI26160
4735_13,CI26174
4737_11,CI26170
4737_12,CI26160
4737_13,CI26157
4738_11,CI23663
4738_12,CI24868
4738_13,CI24968
4739_11,CI26160
4739_12,CI26160
4739_13,CI26161
4740_11,CI26216
4740_12,CI26170
4740_13,CI26157
4742_11,CI26170
4742_12,CI26160
4742_13,CI26174
4746_11,CI26170
4746_12,CI26160
4746_13,CI26157
4747_11,CI23663
4747_12,CI23856
4747_13,CI23855
4749_11,CI23663
4749_12,CI24917
4749_13,CI23855
4751_11,CI25140
4751_12,CI26054
4751_13,CI24968
4753_11,CI26170
4753_12,CI26160
4753_13,CI26174
4755_11,CI23663
4755_12,CI23856
4755_13,CI24917
4758_11,CI23663
4758_12,CI24522
4758_13,CI24917
4761_11,CI23663
4761_12,CI24868
4761_13,CI23855
4762_11,CI23663
4762_12,CI24868
4762_13,CI24917
4767_11,CI23714
4767_12,CI24522
4767_13,CI24917
4770_11,CI24206
4770_12,CI24522
4770_13,CI24917
4773_11,CI23714
4773_12,CI24530
4773_13,CI23855
4774_11,CI26170
4774_12,CI26160
4774_13,CI26174
4778_11,CI26170
4778_12,CI26160
4778_13,CI26161
4780_11,CI23663
4780_12,CI24522
